[2023-12-01T02:16:34.712695+00:00] name.INFO: drd [] []
[2023-12-01T02:19:20.201775+00:00] log.INFO: test [] []
[2023-12-01T02:19:38.388030+00:00] log.INFO: test [] []
[2023-12-06T07:46:52.983431+00:00] log.INFO: User Logged in Successfully! {"user_id":25,"IP_Address":"172.18.0.1"} []
[2023-12-06T07:47:02.294668+00:00] log.INFO: User Logged in Successfully! {"user_id":28,"IP_Address":"172.18.0.1"} []
[2023-12-06T15:31:43.639286+00:00] log.INFO: User Logged in Successfully! {"user_id":27,"IP_Address":"172.18.0.1"} []
[2023-12-07T13:38:30.577510+00:00] log.INFO: User Logged in Successfully! {"user_id":28,"IP_Address":"172.18.0.1"} []
[2023-12-08T07:59:49.087374+00:00] log.INFO: User Logged in Successfully! {"user_id":27,"IP_Address":"172.18.0.1"} []
[2023-12-08T09:26:50.663047+00:00] log.INFO: User Logged in Successfully! {"user_id":26,"IP_Address":"172.18.0.1"} []
[2023-12-08T10:24:53.638306+00:00] log.INFO: Failed login attempt from a user. {"IP_Address":"172.20.0.1"} []
[2023-12-08T10:24:56.854880+00:00] log.INFO: User Logged in Successfully! {"user_id":26,"IP_Address":"172.20.0.1"} []
[2023-12-08T10:26:28.888377+00:00] log.INFO: User Logged in Successfully! {"user_id":27,"IP_Address":"172.20.0.1"} []
[2023-12-08T10:27:04.507570+00:00] log.INFO: User Logged in Successfully! {"user_id":28,"IP_Address":"172.20.0.1"} []
[2023-12-08T10:27:25.828542+00:00] log.INFO: User Logged in Successfully! {"user_id":27,"IP_Address":"172.20.0.1"} []
[2023-12-10T15:38:22.177238+00:00] log.INFO: User Logged in Successfully! {"user_id":28,"IP_Address":"172.23.0.1"} []
[2023-12-10T15:40:10.517147+00:00] log.INFO: User Logged in Successfully! {"user_id":28,"IP_Address":"172.23.0.1"} []
[2023-12-12T01:00:55.192701+00:00] log.INFO: User Logged in Successfully! {"user_id":26,"IP_Address":"172.18.0.1"} []
[2023-12-12T01:12:39.859001+00:00] log.INFO: User Logged in Successfully! {"user_id":26,"IP_Address":"172.19.0.1"} []
[2023-12-12T03:26:19.969258+00:00] log.INFO: User Logged in Successfully! {"user_id":26,"IP_Address":"172.19.0.1"} []
[2023-12-19T03:02:30.886286+00:00] log.INFO: User Logged in Successfully! {"user_id":26,"IP_Address":"172.19.0.1"} []
[2023-12-19T08:06:02.672258+00:00] log.INFO: User Logged in Successfully! {"user_id":26,"IP_Address":"172.21.0.1"} []
[2023-12-19T08:07:21.504344+00:00] log.INFO: User Logged in Successfully! {"user_id":26,"IP_Address":"172.22.0.1"} []
[2023-12-19T08:14:15.154488+00:00] log.INFO: User Logged in Successfully! {"user_id":26,"IP_Address":"172.22.0.1"} []
[2023-12-19T08:16:05.834410+00:00] log.INFO: User Logged in Successfully! {"user_id":26,"IP_Address":"172.22.0.1"} []
[2023-12-19T08:18:09.967091+00:00] log.INFO: User Logged in Successfully! {"user_id":26,"IP_Address":"172.22.0.1"} []
[2023-12-19T08:19:08.629870+00:00] log.INFO: User Logged in Successfully! {"user_id":26,"IP_Address":"172.22.0.1"} []
[2023-12-19T08:19:37.551659+00:00] log.INFO: User Logged in Successfully! {"user_id":26,"IP_Address":"172.22.0.1"} []
[2023-12-19T08:20:15.855007+00:00] log.INFO: User Logged in Successfully! {"user_id":26,"IP_Address":"172.22.0.1"} []
[2023-12-19T08:29:15.347558+00:00] log.INFO: User Logged in Successfully! {"user_id":26,"IP_Address":"172.22.0.1"} []
[2023-12-19T08:36:22.371436+00:00] log.INFO: User Logged in Successfully! {"user_id":26,"IP_Address":"172.22.0.1"} []
[2023-12-19T08:36:50.481456+00:00] log.INFO: User Logged in Successfully! {"user_id":28,"IP_Address":"172.22.0.1"} []
[2023-12-19T08:44:35.848436+00:00] log.INFO: User Logged in Successfully! {"user_id":25,"IP_Address":"172.22.0.1"} []
[2023-12-19T09:07:49.538933+00:00] log.INFO: User Logged in Successfully! {"user_id":27,"IP_Address":"172.22.0.1"} []
[2023-12-19T09:08:21.102319+00:00] log.INFO: User Logged in Successfully! {"user_id":27,"IP_Address":"172.22.0.1"} []
[2023-12-19T09:14:05.436923+00:00] log.INFO: User Logged in Successfully! {"user_id":27,"IP_Address":"172.22.0.1"} []
[2023-12-19T09:22:10.258772+00:00] log.INFO: User Logged in Successfully! {"user_id":26,"IP_Address":"172.23.0.1"} []
[2023-12-19T09:44:11.578338+00:00] log.INFO: User Logged in Successfully! {"user_id":26,"IP_Address":"172.24.0.1"} []
[2023-12-19T09:49:10.869328+00:00] log.INFO: User Logged in Successfully! {"user_id":27,"IP_Address":"172.24.0.1"} []
[2023-12-19T09:51:09.572777+00:00] log.INFO: User Logged in Successfully! {"user_id":26,"IP_Address":"172.24.0.1"} []
[2023-12-19T09:56:33.998761+00:00] log.INFO: User Logged in Successfully! {"user_id":28,"IP_Address":"172.24.0.1"} []
[2023-12-19T10:00:25.457747+00:00] log.INFO: User Logged in Successfully! {"user_id":28,"IP_Address":"172.24.0.1"} []
[2023-12-20T07:18:01.457391+00:00] log.INFO: User Logged in Successfully! {"user_id":26,"IP_Address":"172.18.0.1"} []
[2023-12-20T07:21:31.998802+00:00] log.INFO: User Logged in Successfully! {"user_id":28,"IP_Address":"172.18.0.1"} []
[2023-12-20T07:23:31.593373+00:00] log.INFO: Login attempt from a deleted user. {"IP_Address":"172.18.0.1"} []
[2023-12-22T15:12:59.627973+00:00] log.INFO: User Logged in Successfully! {"user_id":26,"IP_Address":"172.18.0.1"} []
[2023-12-22T15:13:09.964796+00:00] log.INFO: User Logged in Successfully! {"user_id":28,"IP_Address":"172.18.0.1"} []
[2023-12-26T13:25:42.149028+00:00] log.INFO: Failed login attempt from a user. {"IP_Address":"172.28.0.1"} []
[2023-12-26T13:25:48.292755+00:00] log.INFO: User Logged in Successfully! {"user_id":27,"IP_Address":"172.28.0.1"} []
[2023-12-26T13:42:19.720451+00:00] log.INFO: User Logged in Successfully! {"user_id":28,"IP_Address":"172.28.0.1"} []
[2023-12-26T13:43:24.549715+00:00] log.INFO: User Logged in Successfully! {"user_id":27,"IP_Address":"172.28.0.1"} []
[2023-12-26T14:23:34.792494+00:00] log.INFO: User Logged in Successfully! {"user_id":26,"IP_Address":"172.28.0.1"} []
[2023-12-27T18:42:20.374448+00:00] log.INFO: User Logged in Successfully! {"user_id":26,"IP_Address":"172.28.0.1"} []
[2023-12-27T18:52:44.557841+00:00] log.INFO: User Logged in Successfully! {"user_id":"","IP_Address":"172.28.0.1"} []
[2023-12-27T18:53:57.976253+00:00] log.INFO: Failed login attempt from a user. {"IP_Address":"172.28.0.1"} []
[2023-12-27T18:54:46.511302+00:00] log.INFO: User Logged in Successfully! {"user_id":17,"IP_Address":"172.28.0.1"} []
[2023-12-27T18:55:46.074037+00:00] log.INFO: User Logged in Successfully! {"user_id":27,"IP_Address":"172.28.0.1"} []
[2023-12-28T03:16:34.292062+00:00] log.INFO: User Logged in Successfully! {"user_id":26,"IP_Address":"172.29.0.1"} []
[2023-12-28T03:17:30.020347+00:00] log.INFO: User Logged in Successfully! {"user_id":27,"IP_Address":"172.29.0.1"} []
[2023-12-28T03:21:01.649989+00:00] log.INFO: User Logged in Successfully! {"user_id":26,"IP_Address":"172.30.0.1"} []
[2023-12-28T03:21:13.495548+00:00] log.INFO: User Logged in Successfully! {"user_id":27,"IP_Address":"172.30.0.1"} []
[2023-12-28T03:58:32.186649+00:00] log.INFO: User Logged in Successfully! {"user_id":26,"IP_Address":"172.31.0.1"} []
[2023-12-28T03:58:43.215665+00:00] log.INFO: User Logged in Successfully! {"user_id":27,"IP_Address":"172.31.0.1"} []
[2023-12-28T04:08:29.225231+00:00] log.INFO: User Logged in Successfully! {"user_id":26,"IP_Address":"192.168.0.1"} []
[2023-12-28T04:08:34.356853+00:00] log.INFO: User Logged in Successfully! {"user_id":27,"IP_Address":"192.168.0.1"} []
